pofdclamp_mistral7b_b0_bottom_stub_ea0p1_w0p5_l0p2_es0p05_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.05, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p1_w0p5_l0p2_es0p1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p1_w0p5_l0p2_es0p2_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p1_w0p5_l0p2_es0p4_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p1_w0p5_l0p2_es1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 1, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p2_w0p5_l0p2_es0p05_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.05, 0.0, 0.5, loop, 0.0, 0.2, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p2_w0p5_l0p2_es0p1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p2_w0p5_l0p2_es0p2_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p2_w0p5_l0p2_es0p4_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.5, loop, 0.0, 0.2, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p2_w0p5_l0p2_es1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 1, 0.0, 0.5, loop, 0.0, 0.2, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p4_w0p5_l0p2_es0p05_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.05, 0.0, 0.5, loop, 0.0, 0.4, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p4_w0p5_l0p2_es0p1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p4_w0p5_l0p2_es0p2_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p4_w0p5_l0p2_es0p4_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.5, loop, 0.0, 0.4, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea0p4_w0p5_l0p2_es1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 1, 0.0, 0.5, loop, 0.0, 0.4, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea1_w0p5_l0p2_es0p05_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.05, 0.0, 0.5, loop, 0.0, 1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea1_w0p5_l0p2_es0p1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea1_w0p5_l0p2_es0p2_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea1_w0p5_l0p2_es0p4_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.5, loop, 0.0, 1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0_bottom_stub_ea1_w0p5_l0p2_es1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 1, 0.0, 0.5, loop, 0.0, 1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 0
pofdclamp_mistral7b_b0xa_bottom_stub_ea0p1_w0p5_l0p2_es0_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 1
pofdclamp_mistral7b_b0xa_bottom_stub_ea0p1_w0p5_l0p2_es0p05_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.05, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 1
pofdclamp_mistral7b_b0xa_bottom_stub_ea0p1_w0p5_l0p2_es0p1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 1
pofdclamp_mistral7b_b0xa_bottom_stub_ea0p1_w0p5_l0p2_es0p2_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 1
pofdclamp_mistral7b_b0xa_bottom_stub_ea0p1_w0p5_l0p2_es0p4_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 0.4, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 1
pofdclamp_mistral7b_b0xa_bottom_stub_ea0p1_w0p5_l0p2_es1_s0, sft, 0, 0, 1, replace, 1.0, fixed, ab, 1, 0.0, 0.5, loop, 0.0, 0.1, threshold, 0, -1, 1, 1, 16, 0, 30, bottom, 0, 1
